Ano,Data do acidente,País do acidente,Modelo da aeronave,Número de mortos
1988,17 de março,Colômbia,Boeing 727,143
1988,28 de abril,Estados Unidos,Boeing 737-200,1
1988,26 de junho,França,Airbus A320-111,3
1988,3 de julho,Golfo Pérsico,Airbus A300,290
1988,29 de setembro,Brasil,Boeing 737-300,1
1988,21 de dezembro,Escócia,Boeing 747,270
1989,8 de fevereiro,Portugal,Boeing 707,144
1989,24 de Fevereiro,Estados Unidos,Boeing 747,9
1989,10 de março,Canadá,Fokker F28-1000,24
1989,21 de março,Brasil,Boeing 707,25
1989,19 de julho,Estados Unidos,Douglas DC-10,111
1989,3 de setembro,Brasil,Boeing 737-200,12
1989,19 de setembro,Níger,Douglas DC-10,170
1989,27 de novembro,Colômbia,Boeing 727,110
1989,28 de novembro,Brasil,,2
1990,25 de janeiro,Estados Unidos,Boeing 707,73
1990,14 de fevereiro,Índia,Airbus A320,92
1990,14 de Novembro,Suíça,DC-9-32,46
1991,1 de fevereiro,Estados Unidos,Boeing 737-300 e Fairchild Swearingen Metroliner,35
1991,3 de março,Estados Unidos,Boeing 737-200,25
1991,26 de maio,Tailândia,Boeing 767-300ER,223
1991,11 de julho,Arábia Saudita,McDonnell Douglas DC-8,261
1992,20 de janeiro,França,Airbus A320,87
1992,03 de fevereiro,Brasil,Embraer 110 Bandeirante,12
1992,6 de junho,Panamá,Boeing 737-200 Advanced,47
1992,28 de julho,Brasil,Learjet LR-25C,6
1992,31 de julho,Nepal,Airbus A310,113
1992,28 de setembro,Nepal,Airbus A300,167
1992,4 de outubro,Países Baixos,Boeing 747,43
1992,12 de outubro,Brasil,,5
1992,14 de novembro,Vietnã,Yakovlev Yak-40,30
1992,24 de novembro,China,Boeing 737-300,141
1992,21 de dezembro,Portugal,DC-10,56
1992,22 de dezembro,Líbia,Boeing 727 e MiG-23,159
1993,17 de Abril,Gabão,De Havilland Canada DHC-5D Buffalo,30
1994,21 de agosto,Marrocos,ATR-42,44
1994,8 de setembro,Estados Unidos,Boeing 737-300,0
1994,23 de março,Rússia,Airbus A310,75
1994,26 de Abril,Japão,Airbus A300,264
1995,25 de maio,Brasil,,4
1995,31 de março,Romênia,Airbus A310,60
1995,20 de dezembro,Colômbia,Boeing 757,159
1996,29 de Janeiro,Brasil,,3
1996,2 de março,Brasil,Learjet 25,9
1996,17 de julho,Estados Unidos,Boeing 747,230
1996,2 de outubro,Peru,Boeing 757,70
1996,31 de outubro,Brasil,Fokker 100,99
1996,12 de novembro,Índia,Boeing 747 e Ilyushin Il-76,349
1996,23 de novembro,Comores,Boeing 767-200ER,125
1997,6 de agosto,Guam,Boeing 747-300,228
1997,15 de agosto,Brasil,Cessna 550 Citation II,2
1997,9 de julho,Brasil,Fokker 100,1
1997,14 de julho,Brasil,ERCOUPE 415C,8
1997,18 de maio,Brasil,Cessna 310 e Skylane,13
1997,1 de Outubro,Brasil,Embraer EMB-121 Xingú,7
1997,19 de dezembro,Indonésia,Boeing 737-300,104
1997,12 de outubro,Estados Unidos,Long-EZ,1
1998,16 de fevereiro,Taiwan,Airbus A300,202
1998,2 de Setembro,Canadá,McDonnell Douglas MD-11,229
1999,1 de junho,Estados Unidos,McDonnell Douglas MD-82,11
1999,22 de agosto,Hong Kong,McDonnell Douglas MD-11,3
1999,31 de outubro,Oceano Atlântico,Boeing 767-300ER,217
1999,11 de dezembro,Portugal,BAe ATP,35
2000,10 de janeiro,Suíça,Saab 340,10
2000,30 de Janeiro,Costa do Marfim,Airbus A310,169
2000,31 de janeiro,Estados Unidos,McDonnell Douglas MD-83,88
2000,19 de abril,Filipinas,Boeing 737-200,131
2000,17 de julho,Índia,Boeing 737-200,55
2000,25 de julho,França,Concorde,113
2000,23 de agosto,Bahrein,Airbus A320,143
2000,31 de outubro,Taiwan,Boeing 747-400,78
2001,4 de julho,Rússia,Tupolev 154,143
2001,27 de julho,Brasil,Helicóptero,1
2001,24 de agosto,Portugal,Airbus A330-300,0
2001,25 de agosto,Bahamas,Cessna 402,9
2001,11 de setembro,Estados Unidos,"Boeing 767, Boeing 757, Boeing 757 e Boeing 767",265
2001,4 de outubro,Mar Negro,Tupolev 154,78
2001,8 de outubro,Itália,McDonnell Douglas MD-87 e Cessna Citation II,118
2001,12 de novembro,Estados Unidos,Airbus A300,265
2001,24 de novembro,Suíça,Saab 340,24
2002,28 de janeiro,Colômbia,Boeing 727-100,92
2002,12 de fevereiro,Irã,Tupolev 154,119
2002,25 de maio,Taiwan,Boeing 747,225
2002,1 de julho,Alemanha,Boeing 757 e Tupolev Tu-154,71
2002,28 de agosto,Nepal,DHC-6 Twin Otter,15
2002,30 de agosto,Brasil,Fokker 100,0
2002,30 de agosto,Brasil,Embraer EMB-120 Brasília,23
2002,14 de setembro,Brasil,ATR-42,2
2003,11 de Setembro,Portugal,Beechcraft King Air 200,10
2003,22 de novembro,Iraque,Airbus A300,0
2003,25 de Dezembro,Benin,Boeing 727,151
2004,3 de janeiro,Mar Vermelho,Boeing 737,148
2004,14 de maio,Brasil,Embraer EMB-120 Brasília,33
2005,6 de agosto,Itália,ATR-72,16
2005,14 de agosto,Grécia,Boeing 737,121
2005,16 de agosto,Venezuela,McDonnell Douglas MD-82,160
2006,3 de março,Brasil,Helicóptero,2
2006,31 de março,Brasil,LET410,19
2006,3 de maio,Mar Negro,Airbus A320,113
2006,9 de julho,Rússia,Airbus A310,131
2006,10 de julho,Paquistão,Fokker F-27,45
2006,22 de agosto,Ucrânia,Tupolev Tu-154,170
2006,27 de agosto,Estados Unidos,Bombardier CRJ100,49
2006,29 de setembro,Brasil,Boeing 737 e Embraer Legacy 600,154
2007,1 de janeiro,Indonésia,Boeing 737-400,102
2007,9 de janeiro,Iraque,Antonov An-26,34
2007,27 de janeiro,Brasil,Cessna 182,2
2007,15 de fevereiro,Espanha,Boeing 737,0
2007,21 de fevereiro,Indonésia,Boeing 737,0
2007,7 de março,Indonésia,Boeing 737,22
2007,17 de março,Rússia,Tupolev Tu-134,6
2007,23 de março,Somália,Ilyushin Il-76,11
2007,30 de março,Sudão,,0
2007,4 de abril,Brasil,Embraer EMB-314 Super Tucano,1
2007,5 de maio,Camarões,Boeing 737-800,114
2007,3 de junho,Serra Leoa,Mil Mi-8,22
2007,25 de junho,Camboja,Antonov An-24,22
2007,17 de julho,Brasil,Airbus A320,199
2007,9 de agosto,Polinésia Francesa,de Havilland Canada DHC-6 Twin Otter,20
2007,20 de agosto,Japão,Boeing 737,0
2007,4 de novembro,Brasil,Learjet 35,8
2008,17 de janeiro,Inglaterra,Boeing 777,0
2008,23 de janeiro,Polônia,Casa C-295M,20
2008,4 de janeiro,Venezuela,Let L-410 Turbolet,14
2008,21 de fevereiro,Venezuela,ATR 42-300,46
2008,20 de agosto,Espanha,McDonnell Douglas MD-82,154
2008,24 de agosto,Quirguistão,Boeing 737-200,68
2008,14 de setembro,Rússia,Boeing 737-500,88
2008,23 de novembro,Brasil,King Air B-200,2
2008,27 de novembro,França,Airbus A320,7
2009,15 de janeiro,Estados Unidos,Airbus A320,0
2009,7 de fevereiro,Brasil,Embraer EMB-110 Bandeirante,24
2009,12 de fevereiro,Estados Unidos,Bombardier Dash 8 Q400,50
2009,25 de fevereiro,Países Baixos,Boeing 737-800,9
2009,12 de março,Brasil,Monocasco,2
2009,20 de maio,Indonésia,Lockheed C-130 Hercules,101
2009,22 de maio,Brasil,Super King Air B-350,14
2009,25 de maio,Brasil,Airbus A330,0
2009,1 de junho,Oceano Atlântico,Airbus A330,228
2009,30 de junho,Oceano Índico,Airbus A310,152
2009,14 de julho,Irã,Tupolev Tu-154M,168
2009,24 de julho,Irã,Tupolev Tu-154M,0
2010,21 de janeiro,Luxemburgo,Boeing 747-400F,0
2010,24 de janeiro,Irã,Tupolev Tu-154,0
2010,25 de janeiro,Líbano,Boeing 737-800,83
2010,25 de janeiro,Brasil,Embraer EMB-110 Bandeirante,2
2010,10 de fevereiro,Brasil,Helicóptero,1
2010,2 de abril,Brasil,Embraer T-27 Tucano,1
2010,10 de abril,Rússia,Tupolev Tu-154,96
2010,12 de maio,Líbia,Airbus A330-200,103
2010,13 de maio,Brasil,Seneca II,6
2010,22 de maio,Índia,Boeing 737-800,158
2010,28 de julho,Paquistão,Airbus A321,152
2010,12 de agosto,Brasil,Learjet 55,0
2010,16 de agosto,Colômbia,Boeing 737-700,1
2010,24 de agosto,China,Embraer ERJ-190,42
2010,24 de agosto,Nepal,Dornier 228,14
2010,4 de novembro,Cuba,ATR-72,68
2011,9 de janeiro,Turquia,Boeing 727,7
2011,14 de janeiro,Brasil,Beechcraft King Air B-200,6
2011,13 de julho,Brasil,Bimotor (NOAR Linhas Aéreas),16
2011,02 de agosto,Brasil,Cessna Gran Caravan,8
2011,19 de agosto,Brasil,Agusta Westland AW139 (helicóptero),2
2011,7 de setembro,Rússia,Yakovlev Yak-42D,44
2012,20 de abril,Brasil,Cessna 206,1
